ssc,Braidwood,Karabar,Queanbeyan,Queanbeyan - East,Queanbeyan Region,Queanbeyan West - Jerrabomberra,Bombala,Cooma,Cooma Region,Jindabyne - Berridale,Batemans Bay,Batemans Bay - South,Bega - Tathra,Bega-Eden Hinterland,Broulee - Tomakin,Deua - Wadbilliga,Eden,Eurobodalla Hinterland,Merimbula - Tura Beach,Moruya - Tuross Head,Narooma - Bermagui,Goulburn,Goulburn Region,Yass,Yass Region,Young,Young Region,Aranda,Belconnen,Bruce,Charnwood,Cook,Dunlop,Evatt,Florey,Flynn (ACT),Fraser,Giralang,Gooromon,Hawker,Higgins,Holt,Kaleen,Latham,Lawson,Macgregor (ACT),Macquarie,McKellar,Melba,Page,Scullin,Spence,Weetangera,Molonglo Corridor,West Belconnen,Hume,Kowen,Canberra East,Canberra Airport,Majura,Amaroo,Bonner,Casey,Crace,Forde,Franklin,Gungahlin,Hall,Harrison,Mitchell,Ngunnawal,Nicholls,Palmerston,Gungahlin - East,Gungahlin - West,Jacka,Kenny,Moncrieff,Taylor,Throsby,Acton,Ainslie,Braddon,Civic,Dickson,Downer,Hackett,Lyneham,O'Connor (ACT),Turner,Watson,Black Mountain,Campbell,Duntroon,Parkes (ACT) - North,Reid,Russell,Deakin,Forrest,Griffith (ACT),Lake Burley Griffin,Narrabundah,Parkes (ACT) - South,Red Hill (ACT),Yarralumla,Barton,Fyshwick,Kingston (ACT),Banks,Bonython,Calwell,Chisholm,Conder,Fadden,Gilmore,Gordon (ACT),Gowrie (ACT),Greenway,Isabella Plains,Kambah,Macarthur,Monash,Mount Taylor,Oxley (ACT),Richardson,Theodore,Tuggeranong,Wanniassa,Tuggeranong - West,Chapman,Duffy,Fisher,Holder,Rivett,Stirling,Waramanga,Weston,Scrivener,Chifley,Curtin,Farrer,Garran,Hughes,Isaacs,Lyons (ACT),Mawson,O'Malley,Pearce,Phillip,Torrens,Arboretum,Coombs,Denman Prospect,Molonglo,Molonglo - North,Wright,ACT - South West,Namadgi,Total
ACT Remainder - Tuggeranong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ACT Remainder - Weston Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acton (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,16,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,3,0,0,3,9,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,98
Ainslie,0,4,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,44,47,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,22,42,18,0,0,0,0,0,0,7,0,0,46,4,0,0,0,0,0,5,0,0,0,70,70,34,210,42,0,0,13,5,8,12,0,15,12,4,7,45,32,26,20,0,0,58,6,8,101,58,19,0,0,0,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,8,6,0,4,0,21,4,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1333
Amaroo (ACT),0,3,21,16,14,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,158,77,5,0,0,5,7,0,0,0,0,4,0,7,3,3,0,0,9,0,3,0,0,0,0,0,0,33,0,41,100,26,90,3,8,9,4,3,147,4,18,113,6,28,8,0,0,0,0,3,0,0,31,9,36,318,37,0,0,28,10,8,13,0,19,32,13,4,96,47,32,20,0,0,33,3,11,121,119,19,0,0,0,0,0,0,0,0,0,46,3,0,0,4,0,0,0,0,0,3,0,0,0,0,3,0,0,0,13,0,0,0,0,29,5,0,0,3,0,8,85,0,0,0,0,0,0,0,3,0,2277
Aranda,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,51,47,0,0,0,0,3,0,0,0,0,3,0,5,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,3,13,3,0,0,0,0,0,3,4,0,0,23,0,0,0,0,0,0,0,0,0,0,59,6,19,97,8,0,0,9,3,4,0,0,9,4,0,3,11,17,13,9,0,0,22,6,5,48,20,8,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,9,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,696
Banks,0,0,42,36,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,29,65,20,0,0,0,3,0,0,17,0,0,27,0,0,0,0,0,0,0,0,0,0,26,3,19,141,9,0,0,9,0,0,7,0,14,15,11,7,53,63,37,23,0,10,35,10,11,83,191,18,58,5,9,6,60,0,0,7,5,326,11,18,0,6,0,0,0,0,3,33,0,4,0,0,6,0,5,4,22,0,0,9,4,65,4,0,0,5,0,3,130,3,0,0,0,0,0,0,16,0,2111
Barton,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,7,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,9,46,4,0,0,4,0,0,0,0,3,4,5,0,33,24,9,17,0,0,33,0,11,36,28,8,0,0,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,444
Beard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belconnen,0,0,17,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,142,123,5,0,0,7,9,0,0,0,0,10,0,19,14,0,0,0,14,0,4,14,5,0,0,0,0,20,0,20,53,23,4,0,0,0,4,0,33,3,3,38,4,3,4,0,0,0,0,5,0,0,73,7,33,238,32,0,0,24,15,20,14,5,23,6,9,10,60,58,20,22,0,12,46,9,20,97,96,36,0,0,4,0,4,0,0,0,0,45,0,8,0,0,0,0,0,0,0,6,0,0,0,0,5,0,9,0,16,0,3,4,0,31,4,0,3,8,4,0,87,0,0,0,0,0,0,0,3,0,1841
Bonner,0,0,36,20,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,188,87,7,0,3,0,3,0,0,4,0,4,0,18,3,4,0,0,5,0,0,5,0,0,0,0,0,33,0,31,138,24,19,81,14,5,22,13,149,0,9,82,16,25,3,0,0,0,0,6,0,0,59,9,49,344,34,0,0,27,3,20,10,0,26,30,19,12,92,67,34,34,0,5,36,9,22,113,159,19,0,0,0,0,4,0,0,0,0,83,5,6,0,4,0,0,0,0,0,6,0,0,0,0,0,0,9,0,19,0,0,0,0,31,0,0,0,5,4,0,101,0,0,0,0,0,0,0,0,0,2680
Bonython,0,6,18,13,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,0,28,42,12,0,0,0,0,0,0,15,5,0,16,0,0,0,0,0,0,0,0,0,0,14,4,19,111,11,0,0,7,0,3,4,0,4,3,11,5,22,38,29,25,0,7,20,6,0,52,124,15,0,49,14,10,14,8,0,6,5,301,8,20,4,13,0,0,4,3,0,36,0,0,4,0,0,3,4,5,17,0,0,5,0,60,0,0,0,9,4,6,112,0,0,0,0,0,0,0,6,0,1553
Braddon,0,0,14,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,86,43,0,0,0,0,3,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,24,79,12,0,0,0,0,0,0,13,0,0,13,0,5,0,0,0,0,0,0,0,0,63,18,45,165,25,0,0,21,3,6,9,0,12,23,7,0,113,38,28,32,0,4,61,4,10,105,78,32,0,0,0,0,0,0,0,0,0,41,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,0,0,0,0,36,0,0,0,4,0,3,69,0,0,0,0,0,0,0,0,0,1462
Bruce (ACT),0,0,12,3,16,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,0,0,246,204,3,3,0,3,3,6,5,5,0,8,0,14,19,0,5,0,26,0,7,0,7,0,3,0,4,13,0,26,91,24,0,4,6,0,4,0,48,0,5,48,0,11,0,0,0,0,0,0,0,0,79,3,48,341,45,0,0,42,13,17,13,0,19,27,8,6,82,69,44,47,0,3,47,6,18,104,101,38,0,0,0,0,3,0,0,0,4,68,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,4,24,0,0,3,3,43,5,0,0,5,6,0,99,0,0,0,0,0,0,0,3,0,2453
Calwell,0,0,63,39,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,78,0,45,72,24,0,0,0,0,0,3,12,0,0,36,5,0,0,0,0,0,0,5,0,0,24,6,25,201,26,0,0,7,3,8,4,0,16,13,12,4,62,67,45,30,0,12,40,7,19,97,193,24,0,4,126,11,25,4,3,7,9,297,8,28,0,12,0,3,0,0,3,47,0,0,0,0,4,3,4,10,25,4,0,15,4,84,7,0,5,9,0,11,166,0,0,0,0,0,0,0,7,0,2436
Campbell,0,0,13,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,24,73,21,0,0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,40,8,26,153,12,0,0,10,4,0,4,0,68,96,5,7,71,31,17,14,0,4,24,4,6,86,50,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,4,4,0,19,0,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,1094
Canberra Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
Capital Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casey,0,0,22,13,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,5,0,0,0,213,86,8,0,4,4,6,3,5,0,0,10,0,12,5,0,0,3,7,3,7,3,0,5,0,0,0,26,0,40,91,24,12,7,75,7,3,0,112,0,9,105,9,38,8,0,0,0,0,9,0,0,39,8,61,396,60,0,0,34,8,12,22,0,25,28,13,5,82,69,29,24,0,4,39,8,19,107,146,25,0,0,0,0,3,0,0,0,0,65,0,3,0,0,0,0,0,0,0,9,0,0,0,4,3,0,3,0,7,0,0,8,3,44,4,0,0,7,0,3,125,0,0,0,0,0,0,0,0,0,2617
Chapman,0,0,13,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,20,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,0,21,0,25,135,6,0,0,9,0,3,0,0,9,3,3,4,19,48,23,18,0,7,24,8,14,61,30,24,0,0,0,0,5,0,0,0,0,45,0,9,0,0,0,0,0,0,0,5,0,64,0,0,5,0,5,10,27,3,0,0,0,31,3,0,3,3,0,0,98,0,0,0,0,0,0,0,0,0,960
Charnwood,0,0,13,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,45,51,0,0,8,3,0,0,0,0,6,0,14,0,0,0,0,8,3,5,8,0,4,0,0,0,24,0,9,19,7,3,0,0,3,0,6,18,6,3,48,5,4,0,0,0,0,0,0,0,0,17,0,23,104,12,0,0,10,3,10,3,0,9,0,3,5,18,24,11,5,0,5,26,0,11,33,52,10,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,3,0,0,0,0,7,0,7,0,4,0,0,6,0,15,0,0,4,3,0,3,23,0,0,0,0,0,0,0,0,0,1017
Chifley (ACT),0,4,4,10,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,13,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,20,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,10,103,11,0,0,5,0,9,0,6,8,4,3,0,19,26,23,15,0,11,21,3,9,24,42,10,0,0,0,0,0,0,0,0,0,40,0,0,0,4,0,0,0,0,0,6,0,0,0,0,4,0,7,4,12,0,26,4,3,53,5,0,3,4,0,12,79,0,0,0,0,0,0,0,6,0,809
Chisholm (ACT),0,0,46,37,11,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,26,0,0,0,0,0,0,0,0,0,0,0,4,0,6,6,0,0,0,0,4,0,0,0,0,0,75,0,43,59,26,0,0,0,3,0,0,25,0,0,47,0,0,0,0,0,0,0,0,0,0,22,7,22,199,21,0,0,0,0,0,5,0,16,13,8,6,50,60,29,30,0,10,35,11,17,80,207,14,0,3,12,90,17,9,6,0,12,210,4,25,0,17,0,0,8,0,3,59,0,0,0,0,4,0,3,6,22,0,0,9,0,84,5,0,0,15,0,6,142,6,0,0,0,0,0,5,0,0,2151
